01105,01,,,,1,,,,1
01176,01,,,,1,,,,
01062,02,,,,,,,1,
01119,01,,,,,1,,,
01105,01,,,,,,,,
01104,01,,,,,,,,1
01159,01,,,,,,,,1
01062,01,,,,,,,,1
01134,01,,,,,,,,1
01003,01,,,,,,,,1
01045,02,,,,,,,,1
01157,01,,,,,,,,1
01177,01,,,,,,,,1
11002,01,,,,,,,,1
01043,01,,,,,,,,1
01163,04,,,,,,,,1
01126,01,,,,,,,,1
01140,01,,,,,,,,1
01078,01,,,,,,,,1
01136,01,,,,,,,,1
01088,01,,,,,,,,1
01079,01,1,,1,,,,,
01060,01,1,,,,,,,
01088,01,1,,,,,,,
01133,01,1,,,,,,,
01037,02,,,1,,,,,
01173,01,1,,1,,,,,
01042,02,,1,,,,,,
01016,02,,1,,,,,,
01178,02,,1,,,,,,
01057,03,,1,,,,,,
01092,02,,1,,,,,,
01029,02,,1,,,,,,
01019,05,,1,,,,,,
01025,02,,1,,,,,,
01179,02,,1,,,,,,
01002,02,,1,,,,,,
